S.N.|Candidate|Party|EVM Votes|Postal Votes|Total Votes|% of Votes|UT_OR_STATE|CONSTITUENCY
6.0|LAXMANBHAI GALABHAI BARIYA|Aam Janmat Party,|3108|97|3205|0.28|Gujarat|Panchmahal
7.0|TASLIM MOHAMMEDRAFIK DURVESH|Independent|3051|14|3065|0.27|Gujarat|Panchmahal
8.0|PANDOR KAUSHIKKUMAR SHANKARBHAI|Independent|2486|21|2507|0.22|Gujarat|Panchmahal
9.0|NOTA|None of the Above|19629|474|20103|1.78|Gujarat|Panchmahal
|Total||1116210|15287|1131497||Gujarat|Panchmahal
1.0|DEVUSINH CHAUHAN|Bharatiya Janata Party|738609|5826|744435|63.31|Gujarat|Kheda
2.0|KALUSINH DABHI|Indian National Congress|381656|5021|386677|32.88|Gujarat|Kheda
3.0|SODHA SANJAYKUMAR PARVATSINH|Independent|6123|16|6139|0.52|Gujarat|Kheda
4.0|BHAILALBHAI KALUBHAI PANDAV|Bahujan Samaj Party|6055|97|6152|0.52|Gujarat|Kheda
5.0|PARMAR HITESHKUMAR PARSOTTAMBHAI|Independent|2730|11|2741|0.23|Gujarat|Kheda
6.0|UPENDRAKUMAR VALLAVBHAI PATEL|Independent|2703|12|2715|0.23|Gujarat|Kheda
7.0|PATEL ANILKUMAR BHAILALBHAI|Rashtriya Mahaswaraj Bhumi Party|2493|30|2523|0.21|Gujarat|Kheda
8.0|SAIYAD KADARI MOHAMMAD SABIR ANVAR HUSAIN|Bhartiya Jan Nayak Party|1812|26|1838|0.16|Gujarat|Kheda
9.0|INDIRADEVI HIRALAL VORA|Garib Kalyan Party|1126|9|1135|0.1|Gujarat|Kheda
10.0|KAMLESHBHAI POPATBHAI PATEL|Bhartiya Jan Parishad|933|16|949|0.08|Gujarat|Kheda
11.0|IMRANBHAI VANKAWALA|Right to Recall Party|924|4|928|0.08|Gujarat|Kheda
12.0|KANTIYA DASRATH HARJIVANBHAI|New India United Party|789|3|792|0.07|Gujarat|Kheda
13.0|NOTA|None of the Above|18444|380|18824|1.6|Gujarat|Kheda
|Total||1164397|11451|1175848||Gujarat|Kheda
1.0|MITESH PATEL (BAKABHAI)|Bharatiya Janata Party|607394|5090|612484|52.44|Gujarat|Anand
2.0|AMIT CHAVDA|Indian National Congress|516453|6092|522545|44.74|Gujarat|Anand
3.0|SURESHBHAI DHULABHAI PATEL|Bahujan Samaj Party|5778|53|5831|0.5|Gujarat|Anand
4.0|BHOI ASHISHKUMAR THAKORBHAI|Independent|5525|17|5542|0.47|Gujarat|Anand
5.0|KEYURBHAI PRAVINBHAI PATEL (BAKABHAI)|Independent|2290|8|2298|0.2|Gujarat|Anand
6.0|DHEERAJKUMAR KSHATRIYA|Garib Kalyan Party|1723|24|1747|0.15|Gujarat|Anand
7.0|BHATT SUNILKUMAR NARENDRABHAI|Right to Recall Party|1584|8|1592|0.14|Gujarat|Anand
8.0|NOTA|None of the Above|15679|251|15930|1.36|Gujarat|Anand
|Total||1156426|11543|1167969||Gujarat|Anand
1.0|NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA)|Bharatiya Janata Party|707428|9455|716883|68.46|Gujarat|Bhavnagar
2.0|UMESHBHAI NARANBHAI MAKWANA|Aam Aadmi Party|256902|4692|261594|24.98|Gujarat|Bhavnagar
3.0|RATHOD DINESHBHAI LAKHABHAI|Bahujan Samaj Party|9989|141|10130|0.97|Gujarat|Bhavnagar
4.0|ANILBHAI NARENDRABHAI CHAVDA|Swatantrata Abhivyakti Party|7574|45|7619|0.73|Gujarat|Bhavnagar
5.0|PARMAR RAJESHKUMAR PREMJIBHAI|New India United Party|6456|37|6493|0.62|Gujarat|Bhavnagar
6.0|KALANIYA SAGARBHAI POPATBHAI|Aapki Awaaz Party|6039|48|6087|0.58|Gujarat|Bhavnagar
7.0|SANJAYBHAI MAGANBHAI MAKAWANA|Independent|4131|22|4153|0.4|Gujarat|Bhavnagar
8.0|HARSH GOKLANI|Independent|3593|41|3634|0.35|Gujarat|Bhavnagar
9.0|SHRI MULSHANKARBHAI RAGHURAMBHAI CHAUHAN|Independent|3386|20|3406|0.33|Gujarat|Bhavnagar
10.0|SHRI TIDABHAI DEVSHIBHAI|Gujarat Sarva Samaj Party|2641|44|2685|0.26|Gujarat|Bhavnagar
11.0|BHUPATBHAI MOHANBHAI VALA|Right to Recall Party|2370|24|2394|0.23|Gujarat|Bhavnagar
12.0|NARESHBHAI NARANBHAI RATHOD|Independent|1745|20|1765|0.17|Gujarat|Bhavnagar
13.0|BRAHMAKSHTRIYA BHAGVATIBEN KHETSINH|Independent|1562|62|1624|0.16|Gujarat|Bhavnagar
14.0|NOTA|None of the Above|17717|1048|18765|1.79|Gujarat|Bhavnagar
|Total||1031533|15699|1047232||Gujarat|Bhavnagar
1.0|BHARATBHAI MANUBHAI SUTARIYA|Bharatiya Janata Party|577820|3052|580872|66.28|Gujarat|Amreli
2.0|JENNY THUMMAR|Indian National Congress|258231|1573|259804|29.64|Gujarat|Amreli
3.0|CHAUHAN RAVAJIBHAI MULABHAI|Bahujan Samaj Party|7486|57|7543|0.86|Gujarat|Amreli
4.0|SANKHAT VIKRAMBHAI VISABHAI|Global Republican Party|4958|51|5009|0.57|Gujarat|Amreli
5.0|BAVKUBHAI AMARUBHAI VALA|Independent|3733|44|3777|0.43|Gujarat|Amreli
6.0|BHAVESHBHAI JENTIBHAI RANK|Independent|3663|8|3671|0.42|Gujarat|Amreli
7.0|PUNJABHAI BAVBHAI DAFDA|Independent|2598|23|2621|0.3|Gujarat|Amreli
8.0|PRITESH CHAUHAN (LALU)|Independent|1759|21|1780|0.2|Gujarat|Amreli
9.0|NOTA|None of the Above|11125|224|11349|1.29|Gujarat|Amreli
|Total||871373|5053|876426||Gujarat|Amreli
1.0|CHUDASAMA RAJESHBHAI NARANBHAI|Bharatiya Janata Party|578516|5533|584049|54.67|Gujarat|Junagadh
2.0|JOTVA HIRABHAI ARJANBHAI|Indian National Congress|444156|4399|448555|41.99|Gujarat|Junagadh
3.0|MAKADIA JAYANTILAL MALDEBHAI|Bahujan Samaj Party|7132|150|7282|0.68|Gujarat|Junagadh
4.0|VADHER DANSING CHINABHAI|Independent|5161|28|5189|0.49|Gujarat|Junagadh
5.0|DEVENDRABHAI DHANJIBHAI MOTIVARAS|Independent|2302|7|2309|0.22|Gujarat|Junagadh
6.0|BORICHANGAR BHAVESH DALPATRAI|Independent|1884|24|1908|0.18|Gujarat|Junagadh
7.0|DAKI NATHABHAI MENSIBHAI|Independent|1329|15|1344|0.13|Gujarat|Junagadh
8.0|ISHWAR RAMBHAI SOLANKI|Right to Recall Party|1150|21|1171|0.11|Gujarat|Junagadh
9.0|ALPESHKUMAR CHANDULAL TRAMBADIYA|Log Party|943|21|964|0.09|Gujarat|Junagadh
10.0|GORDHANBHAI MANGABHAI GOHEL|Independent|758|17|775|0.07|Gujarat|Junagadh
11.0|AARAB HASAM SUMRA|Independent|689|5|694|0.06|Gujarat|Junagadh
12.0|NOTA|None of the Above|13434|579|14013|1.31|Gujarat|Junagadh
|Total||1057454|10799|1068253||Gujarat|Junagadh
1.0|POONAMBEN HEMATBHAI MAADAM|Bharatiya Janata Party|618120|1929|620049|58.98|Gujarat|Jamnagar
2.0|ADVOCATE J. P. MARAVIYA|Indian National Congress|380949|1092|382041|36.34|Gujarat|Jamnagar
3.0|JAYSUKH NATHUBHAI PINGALSUR|Bahujan Samaj Party|11429|33|11462|1.09|Gujarat|Jamnagar
4.0|KANZARIYA RANCHHODBHAI NARANBHAI|Viro Ke Vir Indian Party|6973|29|7002|0.67|Gujarat|Jamnagar
5.0|VIJAYSINH PRAVINSINH JADEJA|Independent|4817|17|4834|0.46|Gujarat|Jamnagar
6.0|RATHOD PUNJABHAI PALABHAI|Independent|3727|5|3732|0.36|Gujarat|Jamnagar
7.0|BHURALAL MEGHJIBHAI PARMAR|Independent|1923|5|1928|0.18|Gujarat|Jamnagar
8.0|GHUGHA ALARAKHABHAI ISHAKBHAI|Independent|1582|3|1585|0.15|Gujarat|Jamnagar
9.0|KHIRA YUSUF SIDIKBHAI|Independent|1368|3|1371|0.13|Gujarat|Jamnagar
10.0|NANJI AMARSHI BATHWAR|Independent|1365|5|1370|0.13|Gujarat|Jamnagar
11.0|ANWAR NOORMAMAD SANGHAR|Independent|1299|-|1299|0.12|Gujarat|Jamnagar
12.0|PARESHBHAI PARSOTTAMBHAI MUNGARA|Rashtriya Mahaswaraj Bhumi Party|1266|4|1270|0.12|Gujarat|Jamnagar
13.0|POPATPUTRA RAFIK ABUBAKAR|Independent|1133|5|1138|0.11|Gujarat|Jamnagar
14.0|NADEEM MAHAMMAD HALA|Independent|1069|1|1070|0.1|Gujarat|Jamnagar
15.0|NOTA|None of the Above|10972|112|11084|1.05|Gujarat|Jamnagar
|Total||1047992|3243|1051235||Gujarat|Jamnagar
1.0|DR. MANSUKH MANDAVIYA|Bharatiya Janata Party|625962|7156|633118|68.15|Gujarat|Porbandar
2.0|LALIT VASOYA|Indian National Congress|245677|4081|249758|26.89|Gujarat|Porbandar
3.0|N. P. RATHOD|Bahujan Samaj Party|10560|362|10922|1.18|Gujarat|Porbandar
4.0|NATHABHAI BHURABHAI ODEDRA|Independent|7164|132|7296|0.79|Gujarat|Porbandar
5.0|LAKHANSI ODEDARA|Viro Ke Vir Indian Party|3130|33|3163|0.34|Gujarat|Porbandar
6.0|SOLANKI JATIN DHIRUBHAI|Independent|2469|17|2486|0.27|Gujarat|Porbandar
7.0|SODHA HUSHENBHAI ALIBHAI|Independent|2432|3|2435|0.26|Gujarat|Porbandar
8.0|RATHOD CHANDUBHAI MOHANBHAI|Independent|1705|24|1729|0.19|Gujarat|Porbandar
9.0|SHEKHAVA NILESHKUMAR RAMJIBHAI|Samajwadi Party|1587|22|1609|0.17|Gujarat|Porbandar
10.0|SIDHHAPARA HARSUKHLAL JIVANBHAI|Log Party|1059|13|1072|0.12|Gujarat|Porbandar
11.0|MAHEMUDBHAI SAIYAD|Independent|1023|6|1029|0.11|Gujarat|Porbandar
12.0|JETHAVA BIPINKUMAR BHIKHALAL|Independent|786|11|797|0.09|Gujarat|Porbandar
13.0|NOTA|None of the Above|13004|559|13563|1.46|Gujarat|Porbandar
|Total||916558|12419|928977||Gujarat|Porbandar
1.0|PARSHOTTAMBHAI RUPALA|Bharatiya Janata Party|850846|7138|857984|67.37|Gujarat|Rajkot
2.0|DHANANI PARESH|Indian National Congress|368964|4760|373724|29.35|Gujarat|Rajkot
3.0|CHAMANBHAI NAGJIBHAI SAVSANI|Bahujan Samaj Party|10356|109|10465|0.82|Gujarat|Rajkot
4.0|AJAGIYA NIRALBHAI AMRUTLAL|Independent|3674|6|3680|0.29|Gujarat|Rajkot
5.0|BHAVESHBHAI KANTILAL PIPALIYA|Independent|2846|10|2856|0.22|Gujarat|Rajkot
6.0|BHAVESH UPENDRABHAI ACHARYA|Independent|2806|34|2840|0.22|Gujarat|Rajkot
7.0|PRAKASH GOVINDBHAI SINDHAV|Independent|2355|34|2389|0.19|Gujarat|Rajkot
8.0|ZALA NAYAN J.|Independent|2321|29|2350|0.18|Gujarat|Rajkot
9.0|JIGNESHBHAI MAHAJAN|Independent|1322|10|1332|0.1|Gujarat|Rajkot
10.0|NOTA|None of the Above|15288|634|15922|1.25|Gujarat|Rajkot
|Total||1260778|12764|1273542||Gujarat|Rajkot
1.0|CHANDUBHAI CHHAGANBHAI SHIHORA|Bharatiya Janata Party|664093|5656|669749|59.2|Gujarat|Surendranagar
2.0|RUTVIKBHAI LAVJIBHAI MAKWANA|Indian National Congress|403461|4671|408132|36.07|Gujarat|Surendranagar
3.0|DABHI ASHOKBHAI SUKHABHAI|Bahujan Samaj Party|11885|151|12036|1.06|Gujarat|Surendranagar
4.0|VINODBHAI BABUBHAI SATROTIYA|Independent|5940|6|5946|0.53|Gujarat|Surendranagar
5.0|KOLI RAMESHBHAI VIRSANGBHAI VAGHELA|Independent|5173|16|5189|0.46|Gujarat|Surendranagar
6.0|CHAVDA NILESHBHAI MANSUKHBHAI|Rashtra Nirman Party|4103|26|4129|0.36|Gujarat|Surendranagar
7.0|ZALA DEVRAJBHAI BABUBHAI|Independent|2442|21|2463|0.22|Gujarat|Surendranagar
8.0|J.K.PATEL|Independent|2308|59|2367|0.21|Gujarat|Surendranagar
9.0|DEVENDRA MOHANDAS MAHANT|Gunj Satya Ni Janata Party|2042|9|2051|0.18|Gujarat|Surendranagar
10.0|GEDIYA KRUSHANAVADAN HARIPRASADBHAI|Independent|1435|24|1459|0.13|Gujarat|Surendranagar
11.0|ANANDBHAI PACHANBHAI RATHOD|Independent|1241|8|1249|0.11|Gujarat|Surendranagar
12.0|DILIPBHAI PARSHOTTAMBHAI MAKWANA|New India United Party|1222|35|1257|0.11|Gujarat|Surendranagar
13.0|ASHOK PALAJIBHAI RATHOD|Independent|1087|4|1091|0.1|Gujarat|Surendranagar
14.0|PATEL MADHUSUDAN BALDEVBHAI|Mission All India Independent Justice Party|948|12|960|0.08|Gujarat|Surendranagar
15.0|NOTA|None of the Above|12799|500|13299|1.18|Gujarat|Surendranagar
|Total||1120179|11198|1131377||Gujarat|Surendranagar
1.0|DINESHBHAI MAKWANA (ADVOCATE)|Bharatiya Janata Party|606545|5159|611704|63.28|Gujarat|Ahmedabad West
2.0|BHARAT YOGENDRA MAKWANA|Indian National Congress|321972|3295|325267|33.65|Gujarat|Ahmedabad West
3.0|ANILKUMAR VASANTBHAI VAGHELA|Bahujan Samaj Party|9448|152|9600|0.99|Gujarat|Ahmedabad West
4.0|BHITORA BHAVESHKUMAR CHIMANLAL|Gujarat Loktantra Party|2443|15|2458|0.25|Gujarat|Ahmedabad West
5.0|SHANKARBHAI KHUSHALBHAI RATHOD|Democratic Bharatiya Samaj Party|2345|44|2389|0.25|Gujarat|Ahmedabad West
6.0|VEDUBHAI KAUTIKBHAI SIRASAT|Jan Sewa Driver Party|1214|7|1221|0.13|Gujarat|Ahmedabad West
7.0|NOTA|None of the Above|13604|403|14007|1.45|Gujarat|Ahmedabad West
|Total||957571|9075|966646||Gujarat|Ahmedabad West
1.0|HASMUKHBHAI PATEL (H.S.PATEL)|Bharatiya Janata Party|763028|7431|770459|68.28|Gujarat|Ahmedabad East
2.0|HIMMATSINH PRAHLADSINH PATEL|Indian National Congress|303713|4991|308704|27.36|Gujarat|Ahmedabad East
3.0|MAKWANA JAYANTIBHAI KANJIBHAI|Bahujan Samaj Party|10235|247|10482|0.93|Gujarat|Ahmedabad East
4.0|BRIJESH SHARMA|Independent|4514|12|4526|0.4|Gujarat|Ahmedabad East
5.0|HARSHAD BABUBHAI NANDOLIYA|Independent|3554|17|3571|0.32|Gujarat|Ahmedabad East
6.0|MAHESHKUMAR SOMABHAI THAKOR|Independent|3005|28|3033|0.27|Gujarat|Ahmedabad East
7.0|KALPESHBHAI SHETE|Gunj Satya Ni Janata Party|2927|10|2937|0.26|Gujarat|Ahmedabad East
8.0|PATANI VISHNUBHAI NATAVARBHAI|Independent|2377|43|2420|0.21|Gujarat|Ahmedabad East
9.0|ZALA SANJAYKUMAR MAHOBATSINH|Independent|2310|56|2366|0.21|Gujarat|Ahmedabad East
10.0|DASHARATHBHAI KANTILAL PANCHAL|Independent|1474|6|1480|0.13|Gujarat|Ahmedabad East
11.0|PRAMOD SAHDEVBHAI GUDADE|Swatantrata Abhivyakti Party|1275|4|1279|0.11|Gujarat|Ahmedabad East
12.0|RAJESH HARIRAM MAURYA|Prajatantra Aadhar Party|1199|13|1212|0.11|Gujarat|Ahmedabad East
13.0|INGOLE ROOPESHBHAI BABUBHAI|Independent|1153|16|1169|0.1|Gujarat|Ahmedabad East
14.0|DHANANJAY GIRJASHANKAR RAJPUT|Bhartiya Jan Parishad|1083|37|1120|0.1|Gujarat|Ahmedabad East
15.0|MANISH KUMAR DUBEY|Swaraj Kranti Party|898|11|909|0.08|Gujarat|Ahmedabad East
16.0|CHAUHAN MOHAMADFARUK AHEMADHASANBHAI|Independent|771|7|778|0.07|Gujarat|Ahmedabad East
17.0|HITENDRABHAI PATEL|Aadi Bharat Party|722|20|742|0.07|Gujarat|Ahmedabad East
18.0|PIYUSHBHAI BHAVSAR|Youth India Peace Party|642|7|649|0.06|Gujarat|Ahmedabad East
19.0|NOTA|None of the Above|9911|592|10503|0.93|Gujarat|Ahmedabad East
|Total||1114791|13548|1128339||Gujarat|Ahmedabad East
1.0|AMIT SHAH|Bharatiya Janata Party|999984|10988|1010972|76.48|Gujarat|Gandhinagar
2.0|SONAL RAMANBHAI PATEL|Indian National Congress|261411|4845|266256|20.14|Gujarat|Gandhinagar
3.0|MOHAMMEDANISH DESAI|Bahujan Samaj Party|7272|122|7394|0.56|Gujarat|Gandhinagar
4.0|SHAHNAWAZKHAN SULTANKHAN PATHAN|Independent|2325|7|2332|0.18|Gujarat|Gandhinagar
5.0|MALEK MAKBUL SHAKIB|Independent|2052|6|2058|0.16|Gujarat|Gandhinagar
6.0|THAKOR JITENDRASINH JASHAVANTSINH|Insaniyat Party|1949|60|2009|0.15|Gujarat|Gandhinagar
7.0|PARIKH RAJIVBHAI KALABHAI|Independent|1719|32|1751|0.13|Gujarat|Gandhinagar
8.0|MANSURI SUHANA|Independent|1437|16|1453|0.11|Gujarat|Gandhinagar
9.0|MAURYA SUMITRA DEVNARIAN|Prajatantra Aadhar Party|1205|12|1217|0.09|Gujarat|Gandhinagar
10.0|UMADIYA ALIBHAI RAJABHAI|Independent|1004|5|1009|0.08|Gujarat|Gandhinagar
11.0|RAHUL CHIMANBHAI MEHTA|Right to Recall Party|982|19|1001|0.08|Gujarat|Gandhinagar
12.0|PATHAN IMTIYAJKHAN|Independent|786|56|842|0.06|Gujarat|Gandhinagar
13.0|BAGVAN BAHADURSHAH GULMOHAMMAD|Independent|755|16|771|0.06|Gujarat|Gandhinagar
14.0|NAVSADALAM IBRAHIMBHAI MALEK|Independent|726|6|732|0.06|Gujarat|Gandhinagar
15.0|NOTA|None of the Above|21233|772|22005|1.66|Gujarat|Gandhinagar
|Total||1304840|16962|1321802||Gujarat|Gandhinagar
1.0|SHOBHANABEN MAHENDRASINH BARAIYA|Bharatiya Janata Party|670929|6389|677318|53.36|Gujarat|Sabarkantha
2.0|CHAUDHARI TUSHAR AMARSINH|Indian National Congress|515902|5734|521636|41.09|Gujarat|Sabarkantha
3.0|PARMAR RAMESHCHANDRA NANJIBHAI|Bahujan Samaj Party|9850|117|9967|0.79|Gujarat|Sabarkantha
4.0|SOLANKI CHHAGANBHAI KEVLABHAI|Independent|7539|12|7551|0.59|Gujarat|Sabarkantha
5.0|VIJAYSINH NAVALSINH CHAUHAN|Independent|6692|29|6721|0.53|Gujarat|Sabarkantha
6.0|BHAVNABA NARENDRASINH PARMAR|Independent|5365|94|5459|0.43|Gujarat|Sabarkantha
7.0|ANILKUMAR NIRANJANKUMAR MUNDADA|Log Party|5225|22|5247|0.41|Gujarat|Sabarkantha
8.0|MUSTAKBHAI JAMALBHAI SANGHANI|Independent|3196|7|3203|0.25|Gujarat|Sabarkantha
9.0|KATARA VARUNKUMAR KALYANSINH|Gunj Satya Ni Janata Party|2717|56|2773|0.22|Gujarat|Sabarkantha
10.0|RAKESHSINH MAHOBATSINH ZALA|Bhartiya Jan Parishad|1882|69|1951|0.15|Gujarat|Sabarkantha
11.0|PANDOR KAUSHIKKUMAR SHANKARBHAI|Independent|1782|45|1827|0.14|Gujarat|Sabarkantha
12.0|ASHOK L VAGHELA|Independent|1673|15|1688|0.13|Gujarat|Sabarkantha
13.0|KANUBHAI KHIMJIBHAI GADHAVI|Independent|1467|38|1505|0.12|Gujarat|Sabarkantha
14.0|THAKOR INDIRABEN JITENDRASINH|Insaniyat Party|1402|34|1436|0.11|Gujarat|Sabarkantha
15.0|NOTA|None of the Above|20665|411|21076|1.66|Gujarat|Sabarkantha
|Total||1256286|13072|1269358||Gujarat|Sabarkantha
1.0|HARIBHAI PATEL|Bharatiya Janata Party|675614|10792|686406|63.74|Gujarat|Mahesana
2.0|RAMJI THAKOR|Indian National Congress|352578|5782|358360|33.28|Gujarat|Mahesana
3.0|AMRUTLAL MAKWANA|Bahujan Samaj Party|9710|164|9874|0.92|Gujarat|Mahesana
4.0|CHAUHAN PRAKASHKUMAR TRIBHOVANDAS|Akhila Vijaya Party|3866|16|3882|0.36|Gujarat|Mahesana
5.0|PATEL MANUBHAI SHANKARLAL|Independent|3597|75|3672|0.34|Gujarat|Mahesana
6.0|ZALA VIKRAMSINH BANESINH|Rashtra Nirman Party|2949|58|3007|0.28|Gujarat|Mahesana
7.0|NOTA|None of the Above|11002|624|11626|1.08|Gujarat|Mahesana
|Total||1059316|17511|1076827||Gujarat|Mahesana
1.0|DABHI BHARATSINHJI SHANKARJI|Bharatiya Janata Party|585591|6356|591947|49.61|Gujarat|Patan
2.0|CHANDANJI TALAJI THAKOR|Indian National Congress|555134|4937|560071|46.94|Gujarat|Patan
3.0|BALVANT CHHATRALIYA|Bahujan Samaj Party|5811|54|5865|0.49|Gujarat|Patan
4.0|SOYAB HASAM BHORANIYA|Independent|5473|1|5474|0.46|Gujarat|Patan
5.0|THAKOR KISHANBHAI KALUBHAI|Independent|2909|7|2916|0.24|Gujarat|Patan
6.0|SHARMA RAKESHBHAI|Rashtriya Samaj Paksha|2765|9|2774|0.23|Gujarat|Patan
7.0|GHAGHA MASIHULLAH ABDULHAMID|Social Democratic Party Of India|2305|7|2312|0.19|Gujarat|Patan
8.0|CHANDURA DHANJIBHAI LAXAMANBHAI|Independent|2135|25|2160|0.18|Gujarat|Patan
9.0|ABDULHAQ ISMAIL NEDARIYA|Independent|1510|14|1524|0.13|Gujarat|Patan
10.0|ABDULKUDDUS|Independent|1358|2|1360|0.11|Gujarat|Patan
11.0|NOTA|None of the Above|16382|340|16722|1.4|Gujarat|Patan
|Total||1181373|11752|1193125||Gujarat|Patan
1.0|GENIBEN NAGAJI THAKOR|Indian National Congress|667072|4811|671883|48.83|Gujarat|Banaskantha
2.0|DR. REKHABEN HITESHBHAI CHAUDHARI|Bharatiya Janata Party|635760|5717|641477|46.62|Gujarat|Banaskantha
3.0|MANSUNGBHAI MASHRUBHAI PARMAR|Bahujan Samaj Party|9900|29|9929|0.72|Gujarat|Banaskantha
4.0|RATHOD MAVJI BHEMAJI|Independent|7690|6|7696|0.56|Gujarat|Banaskantha
5.0|SHRIMALI ASHOKBHAI BALCHANDBHAI|Independent|5473|8|5481|0.4|Gujarat|Banaskantha
6.0|JASUBHAI GAMAR|Bharat Adivasi Party|4615|11|4626|0.34|Gujarat|Banaskantha
7.0|PATEL PIYUSHBHAI KARSHANBHAI|Bharatiya Yuva Jan Ekta Party|3503|10|3513|0.26|Gujarat|Banaskantha
8.0|BAJAG LASHABHAI LAVAJIBHAI|Independent|2994|15|3009|0.22|Gujarat|Banaskantha
9.0|PRAVINBHAI ISHVARBHAI CHAUHAN|Swatantrata Abhivyakti Party|1822|1|1823|0.13|Gujarat|Banaskantha
10.0|IBRAHIMBHAI PARASANI|Independent|1588|3|1591|0.12|Gujarat|Banaskantha
11.0|PARMAR CHHAGANCHANDRARAJ|Independent|1369|5|1374|0.1|Gujarat|Banaskantha
12.0|CHETANKUMAR KESHAVLAL OZA|Independent|1321|13|1334|0.1|Gujarat|Banaskantha
13.0|NOTA|None of the Above|22034|133|22167|1.61|Gujarat|Banaskantha
|Total||1365141|10762|1375903||Gujarat|Banaskantha
1.0|CHAVDA VINOD LAKHAMSHI|Bharatiya Janata Party|656979|2595|659574|60.23|Gujarat|Kachchh
2.0|NITESH PARBATBHAI LALAN (MATANG)|Indian National Congress|389384|1408|390792|35.68|Gujarat|Kachchh
3.0|VIJAY BHACHRA|Bahujan Samaj Party|6075|36|6111|0.56|Gujarat|Kachchh
4.0|VANAZARA HIRABEN DALPATBHAI|Independent|5145|6|5151|0.47|Gujarat|Kachchh
5.0|BABULAL LADHA CHAVDA|Independent|3348|6|3354|0.31|Gujarat|Kachchh
6.0|KAVITABEN DINESHBHAI MACHCHHOYA|Independent|3342|24|3366|0.31|Gujarat|Kachchh
7.0|DEVABHAI MITHABHAI GOHIL|Rashtriya Power Party|2087|14|2101|0.19|Gujarat|Kachchh
8.0|SHAMLIA VIRJI CHAKU|Hindvi Swarajyay Dal|1560|13|1573|0.14|Gujarat|Kachchh
9.0|ARVIND ASHOK SANGHELA|Gujarat Sarva Samaj Party|1509|17|1526|0.14|Gujarat|Kachchh
10.0|BOCHIYA BHIMJI BHIKHA|Sarva Samaj Janata Party|1491|6|1497|0.14|Gujarat|Kachchh
11.0|RAMJIBHAI JAKHUBHAI DAFDA|Right to Recall Party|1357|13|1370|0.13|Gujarat|Kachchh
12.0|NOTA|None of the Above|18604|138|18742|1.71|Gujarat|Kachchh
|Total||1090881|4276|1095157||Gujarat|Kachchh
1.0|CAPTAIN VIRIATO FERNANDES|Indian National Congress|216022|1814|217836|48.35|Goa|South Goa
2.0|PALLAVI SHRINIVAS DEMPO|Bharatiya Janata Party|201806|2495|204301|45.35|Goa|South Goa
3.0|RUBERT PEREIRA|Revolutionary Goans Party|18718|167|18885|4.19|Goa|South Goa
4.0|DR SWETA GAONKAR|Bahujan Samaj Party|1545|36|1581|0.35|Goa|South Goa
5.0|DEEPKUMAR D MAPARI|Independent|1309|8|1317|0.29|Goa|South Goa
6.0|DR KALIDAS VAINGANKAR|Independent|707|13|720|0.16|Goa|South Goa
7.0|ALEXY FERNANDES|Independent|526|16|542|0.12|Goa|South Goa
8.0|HARISHCHANDRA SUDHAKAR NAIK|Corruption Abolition Party|487|14|501|0.11|Goa|South Goa
9.0|NOTA|None of the Above|4804|33|4837|1.07|Goa|South Goa
|Total||445924|4596|450520||Goa|South Goa
1.0|SHRIPAD YESSO NAIK|Bharatiya Janata Party|253812|3514|257326|56.43|Goa|North Goa
2.0|RAMAKANT KHALAP|Indian National Congress|140191|1120|141311|30.99|Goa|North Goa
3.0|TUKARAM BHARAT PARAB|Revolutionary Goans Party|45460|233|45693|10.02|Goa|North Goa
4.0|MILAN R VAINGANKAR|Bahujan Samaj Party|1600|25|1625|0.36|Goa|North Goa
5.0|MR SAKHARAM NAIK|Akhil Bhartiya Parivar Party|1404|13|1417|0.31|Goa|North Goa
6.0|SHAKEEL JAMAL SHAIKH|Independent|800|7|807|0.18|Goa|North Goa
7.0|THOMAS AUGUSTINE FERNANDES|Independent|746|13|759|0.17|Goa|North Goa
8.0|ADV VISHAL NAIK|Independent|744|8|752|0.16|Goa|North Goa
9.0|NOTA|None of the Above|6297|31|6328|1.39|Goa|North Goa
|Total||451054|4964|456018||Goa|North Goa
1.0|BHOJRAJ NAG|Bharatiya Janata Party|595185|2439|597624|47.23|Chhattisgarh|KANKER
2.0|BIRESH THAKUR|Indian National Congress|593268|2472|595740|47.08|Chhattisgarh|KANKER
3.0|TILAK RAM MARKAM|Bahujan Samaj Party|11694|76|11770|0.93|Chhattisgarh|KANKER
4.0|SONSINGH|Ambedkarite Party of India|11351|11|11362|0.9|Chhattisgarh|KANKER
5.0|JIVAN LAL MATLAM|Sarv Adi Dal|8935|14|8949|0.71|Chhattisgarh|KANKER
6.0|SUKCHAND NETAM|Gondvana Gantantra Party|8617|106|8723|0.69|Chhattisgarh|KANKER
7.0|VINOD NAGWANSHI|Hamar Raj Party|4958|51|5009|0.4|Chhattisgarh|KANKER
8.0|THAKESH MAHLA|Bhartiya Shakti Chetna Party|4201|21|4222|0.33|Chhattisgarh|KANKER
9.0|BHOJRAM MANDAVI|Rashtriya Jansabha Party|3326|35|3361|0.27|Chhattisgarh|KANKER
10.0|NOTA|None of the Above|18618|51|18669|1.48|Chhattisgarh|KANKER
|Total||1260153|5276|1265429||Chhattisgarh|KANKER
